Tite,Year,Certification,duration,genre,rating
Queen of the South,2022,TV-PG,110,Horror,6.2
Godless,2016,TV-MA,42,Action,8
Fullmetal Alchemist: Brotherhood,2017,TV-MA,452,Action,8.3
Ray Donovan,2009,TV-MA,24,Animation,9.1
Wind River,2013,TV-14,60,Crime,8.3
Jumanji: The Next Level,2017,TV-MA,107,Crime,7.7
Fakes,2019,R,123,Action,6.7
The IT Crowd,2022,PG-13,30,Comedy,6.3
DC's Legends of Tomorrow,2006,TV-MA,25,Comedy,8.5
Heartstopper,2016,TV-14,42,Action,6.8
Zodiac,2022,TV-14,30,Drama,8.7
Iron Fist,2007,TV-14,157,Crime,7.7
Merlí. Sapere Aude,2017,R,55,Action,6.4
The Affair,2019,TV-MA,50,Comedy,7.7
Unbelievable,2014,TV-MA,60,Drama,7.9
Enola Holmes,2019,TV-MA,385,Crime,8.4
Pirates of the Caribbean: Dead Men Tell No Tales,2020,TV-MA,123,Action,6.6
Bates Motel,2017,PG-13,129,Action,6.5
Jujutsu Kaisen,2013,PG-13,45,Drama,8.1
Star Trek: Enterprise,2020,TV-MA,24,Animation,8.6
Run,2001,TV-MA,60,Action,7.5
The Green Knight,2020,TV-PG,90,Mystery,6.7
All of Us Are Dead,2021,PG-13,130,Adventure,6.6
Jumanji: Welcome to the Jungle,2022,R,60,Action,7.5
"El Rey, Vicente Fernández",2017,TV-MA,119,Action,6.9
Bodyguard,2022,PG-13,52,Biography,6.4
Luther,2018,TV-14,60,Crime,8.1
That '90s Show,2010,TV-MA,60,Crime,8.4
Hubie Halloween,2015,TV-14,60,Action,8.2
The Watcher,2020,TV-MA,103,Comedy,5.2
Marcella,2010,,58,Drama,8.5
Reign,2016,TV-14,45,Crime,7.4
Love Between Fairy and Devil,2013,TV-MA,42,Drama,7.4
Amar,2022,TV-14,40,Comedy,8.6
Freaks and Geeks,2017,TV-PG,105,Drama,5.1
High Heat,1999,,44,Comedy,8.8
Workin' Moms,2022,TV-14,45,Drama,5.9
Poldark,2017,TV-MA,30,Comedy,7.8
Penny Dreadful,2015,TV-MA,60,Drama,8.3
Medici,2014,TV-14,60,Drama,8.2
Your Name.,2016,TV-MA,60,Biography,7.9
Venom,2016,TV-14,106,Animation,8.4
Californication,2018,PG,112,Action,6.6
The Platform,2007,PG-13,28,Comedy,8.3
Interceptor,2019,TV-MA,94,Horror,7
Shadowhunters,2022,TV-MA,99,Action,4.5
Tropic Thunder,2016,TV-MA,42,Action,6.5
Howl's Moving Castle,2008,TV-14,107,Action,7
Beverly Hills Cop: Axel Foley,2004,R,119,Animation,8.2
SPY×FAMILY,2015,,42,Comedy,7.8
Fighting with My Family,2022,TV-14,24,Animation,8.6
Captain America: Civil War,2019,TV-14,108,Biography,7.1
The Ranch,2016,PG-13,147,Action,7.8
Will & Grace,2016,PG-13,30,Comedy,7.5
I'm Thinking of Ending Things,1998,TV-MA,22,Comedy,7.3
The Wonder,2020,TV-14,134,Drama,6.6
The Midnight Club,2022,R,103,Drama,7.6
Russian Doll,2017,,24,Animation,8.3
Below Deck Mediterranean,2019,TV-PG,30,Comedy,7.8
Lost in Space,2013,TV-MA,126,Action,7.1
The Forgotten Battle,2016,R,43,Reality,7.5
HollyBlood,2018,TV-14,60,Adventure,7.3
A Cinderella Story,2020,TV-PG,124,Drama,7.1
6 Underground,2022,TV-MA,87,Comedy,4.3
Happy Valley,2004,,95,Comedy,5.9
The Stranger,2019,PG,128,Action,6.1
Public Enemies,2014,R,58,Crime,8.5
Sausage Party,2020,TV-MA,363,Crime,7.3
Revenge,2009,TV-MA,140,Action,7
The Invitation,2016,R,89,Animation,6.1
Paddington 2,2011,R,44,Drama,7.8
The Girl in the Mirror,2015,TV-14,100,Drama,6.6
Terrifier,2017,Not Rated,103,Adventure,7.8
The Blues Brothers,2004,PG,90,Comedy,8
Merlí,2022,TV-MA,56,Drama,6.2
Polar,2016,TV-MA,82,Horror,5.6
The Unforgivable,1980,Unrated,133,Action,7.9
Red Rose,2015,R,58,Comedy,8.6
King Arthur: Legend of the Sword,2019,TV-MA,118,Action,6.3
The Impossible,2021,TV-MA,112,Crime,7.1
Vinland Saga,2022,R,45,Drama,6.4
Spider-Man: Far from Home,2017,,126,Action,6.7
The Ballad of Buster Scruggs,2012,PG-13,114,Adventure,7.5
Madam Secretary,2019,PG-13,24,Animation,8.8
